2023-08-26 22:40:56,042 INFO    MainThread:97461 [wandb_setup.py:_flush():76] Current SDK version is 0.15.8
2023-08-26 22:40:56,043 INFO    MainThread:97461 [wandb_setup.py:_flush():76] Configure stats pid to 97461
2023-08-26 22:40:56,043 INFO    MainThread:97461 [wandb_setup.py:_flush():76] Loading settings from /home/azureuser/.config/wandb/settings
2023-08-26 22:40:56,043 INFO    MainThread:97461 [wandb_setup.py:_flush():76] Loading settings from /mnt/batch/tasks/shared/LS_root/mounts/clusters/idiazl1/code/cd0581-building-a-reproducible-model-workflow-exercises/lesson-1-machine-learning-pipelines/exercises/exercise_3/starter/download_data/wandb/settings
2023-08-26 22:40:56,043 INFO    MainThread:97461 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'run_group': 'prod2', 'project': 'experiment_3'}
2023-08-26 22:40:56,043 INFO    MainThread:97461 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-08-26 22:40:56,043 INFO    MainThread:97461 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'download_data.py', 'program': '/mnt/batch/tasks/shared/LS_root/mounts/clusters/idiazl1/code/cd0581-building-a-reproducible-model-workflow-exercises/lesson-1-machine-learning-pipelines/exercises/exercise_3/starter/download_data/download_data.py'}
2023-08-26 22:40:56,043 INFO    MainThread:97461 [wandb_init.py:_log_setup():507] Logging user logs to /mnt/batch/tasks/shared/LS_root/mounts/clusters/idiazl1/code/cd0581-building-a-reproducible-model-workflow-exercises/lesson-1-machine-learning-pipelines/exercises/exercise_3/starter/download_data/wandb/run-20230826_224055-s19x9xkk/logs/debug.log
2023-08-26 22:40:56,043 INFO    MainThread:97461 [wandb_init.py:_log_setup():508] Logging internal logs to /mnt/batch/tasks/shared/LS_root/mounts/clusters/idiazl1/code/cd0581-building-a-reproducible-model-workflow-exercises/lesson-1-machine-learning-pipelines/exercises/exercise_3/starter/download_data/wandb/run-20230826_224055-s19x9xkk/logs/debug-internal.log
2023-08-26 22:40:56,044 INFO    MainThread:97461 [wandb_init.py:init():547] calling init triggers
2023-08-26 22:40:56,044 INFO    MainThread:97461 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {}
2023-08-26 22:40:56,046 INFO    MainThread:97461 [wandb_init.py:init():596] starting backend
2023-08-26 22:40:56,046 INFO    MainThread:97461 [wandb_init.py:init():600] setting up manager
2023-08-26 22:40:56,049 INFO    MainThread:97461 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-08-26 22:40:56,051 INFO    MainThread:97461 [wandb_init.py:init():606] backend started and connected
2023-08-26 22:40:56,058 INFO    MainThread:97461 [wandb_init.py:init():697] updated telemetry
2023-08-26 22:40:56,203 INFO    MainThread:97461 [wandb_init.py:init():730] communicating run to backend with 60.0 second timeout
2023-08-26 22:40:56,684 INFO    MainThread:97461 [wandb_run.py:_on_init():2180] communicating current version
2023-08-26 22:40:56,783 INFO    MainThread:97461 [wandb_run.py:_on_init():2189] got version response 
2023-08-26 22:40:56,783 INFO    MainThread:97461 [wandb_init.py:init():781] starting run threads in backend
2023-08-26 22:40:58,041 INFO    MainThread:97461 [wandb_run.py:_console_start():2159] atexit reg
2023-08-26 22:40:58,042 INFO    MainThread:97461 [wandb_run.py:_redirect():2014] redirect: wrap_raw
2023-08-26 22:40:58,042 INFO    MainThread:97461 [wandb_run.py:_redirect():2079] Wrapping output streams.
2023-08-26 22:40:58,042 INFO    MainThread:97461 [wandb_run.py:_redirect():2104] Redirects installed.
2023-08-26 22:40:58,052 INFO    MainThread:97461 [wandb_init.py:init():822] run started, returning control to user process
2023-08-26 22:40:58,516 INFO    MainThread:97461 [wandb_run.py:_finish():1894] finishing run dev_ml_ops/experiment_3/s19x9xkk
2023-08-26 22:40:58,516 INFO    MainThread:97461 [wandb_run.py:_atexit_cleanup():2128] got exitcode: 0
2023-08-26 22:40:58,516 INFO    MainThread:97461 [wandb_run.py:_restore():2111] restore
2023-08-26 22:40:58,516 INFO    MainThread:97461 [wandb_run.py:_restore():2117] restore done
2023-08-26 22:41:03,044 INFO    MainThread:97461 [wandb_run.py:_footer_history_summary_info():3481] rendering history
2023-08-26 22:41:03,044 INFO    MainThread:97461 [wandb_run.py:_footer_history_summary_info():3513] rendering summary
2023-08-26 22:41:03,054 INFO    MainThread:97461 [wandb_run.py:_footer_sync_info():3440] logging synced files
